cb,pnr,cvs,swks,hbi,fast,flir,gis,incy,wab,xyl,idxx,noc,tfx,dhr,nke,zbh,avy,pki,rtx,tmo,aph,stz,cof,dg,hlt,oke,wmb,well,amgn,tdy,odfl,nlok,ctsh,rgen,mos,ftnt,isrg,jnpr,ntap,chtr,it,syf,uri,rjf,mmm,ecl,aee,cnc,orly,es,tsn,ctlt,dgx,alk,amzn,
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
117.23,33.08,98.27,78.41,29.09,20.04,28.63,58.41,108.99,73.08,36.5,72.2,189.37,131.76,70.29,65.93,101.73,63.07,52.63,59.7,139.53,53.03,142.63,72.77,72.06,46.07,23.12,22.57,66.16,162.3,89.18,39.15,20.53,60.1,28.78,28.7,31.54,180.48,27.51,26.23,181,89.89,30.21,72.05,59.25,148.97,114.42,43.2,32.58,253.75,50.69,53.59,25.01,71.37,81.72,663.15
117.98,33.84,98.51,79.17,29.16,20.63,28.98,58.92,110.52,73.66,37.13,72.47,190,132.03,71.03,64.36,102.77,63.94,53.06,60.6,141.02,53.54,143.69,73.69,72.12,46.66,24.29,25.34,67.03,162.72,89.53,39.19,20.86,60.4,29.67,30.01,31.89,182.58,27.65,26.52,181,90.83,30.51,74.82,58.5,151.16,116.5,43.85,32.9,254.15,51.64,53.8,25.04,71.73,82.16,663.7
118.19,33.76,98.86,79.32,28.96,20.76,28.67,58.72,108.92,73.13,37.07,72.95,190.11,132.8,70.79,63.18,102.91,64.06,53.44,60.6,141.32,53.42,143.03,73.52,72.22,46.3,24.12,24.91,67.03,163.55,87.95,39.14,20.86,60.73,29.12,29.75,31.77,182.48,27.62,26.52,181.89,91.15,30.6,74.6,58.2,151.19,115.78,43.68,32.78,253.42,51.74,53.94,24.95,71.41,82.12,662.79
118.26,33.31,98.42,79.31,28.88,20.7,28.45,58.58,109.68,72.49,36.94,74.16,189.98,133.23,70.8,63.81,102.25,63.99,53.54,60.47,140.7,53.17,143.27,73.15,71.99,46.11,24.12,24.81,67.52,161.73,89.14,39.13,21.13,60.5,29.04,28.98,31.79,182.37,27.71,26.57,182.08,91.5,30.17,72.47,58.44,151.22,115.47,44.04,33.03,255.94,51.84,53.53,25.06,71.6,82.42,675.2
119.47,33.9,99.36,80.43,29.38,20.82,28.67,58.88,110.72,72.02,37.1,74.3,191.48,134.29,71.37,64.26,102.77,63.59,54.36,61.21,143.03,53.45,144.25,73.79,72.69,46.13,24.05,24.87,68.51,164.44,89.74,39.44,21.37,61.41,30.13,28.87,31.78,184.46,28.04,26.88,185.17,92.12,30.69,73.32,59.14,152.89,116.39,44.12,33.37,258.5,51.9,53.9,25.35,72.11,82.77,693.97
118.2,33.58,98.74,79.19,29.08,20.76,28.34,58.56,109.11,71.19,36.87,73.97,190.08,133.15,70.75,63.25,102.47,63.34,53.93,60.98,142.86,52.93,144.17,73.21,72.1,45.73,23.44,24.41,68.32,163.29,89.23,39.13,21.29,61,29.07,28.35,31.45,184.17,27.71,26.87,184.22,91.6,30.43,72.68,58.44,151.91,115.43,44,33.15,257.66,51.85,53.78,25.3,71.74,81.44,689.07
116.85,33.26,97.77,76.83,29.43,20.41,28.07,57.66,108.45,71.12,36.5,72.92,188.81,131.45,70.4,62.5,102.59,62.66,53.57,60.46,141.85,52.23,142.44,72.18,71.87,45.31,24.66,25.7,68.03,162.33,88.7,39.38,21,60.02,28.29,27.59,31.17,182.05,27.6,26.53,183.1,90.7,30.41,72.54,57.97,150.64,114.38,43.23,32.91,253.42,51.07,53.33,25.03,71.14,80.51,675.89
113.73,33.09,96.46,77.93,29.28,20.1,28.75,57.46,103.32,70.16,36.08,71.12,187.51,127.99,69.49,61.52,101.81,61.2,52.43,60.14,138.75,50.87,140.69,70.74,72.41,44.65,25.35,26.24,68.39,158.34,87.62,38.95,20.84,58.13,28.1,28.42,30.23,182.46,27.41,26.02,177.53,88.13,29.94,70.76,56.34,146.82,112.49,43.03,33.02,246.11,50.88,52.96,24.39,70.76,78.4,636.99
114.88,32.81,96.74,73.29,30.01,19.88,30.31,57.2,103.8,68.93,36.07,71.83,192.39,128.32,69.61,62.38,103.93,61.67,53.01,60.24,138.51,50.3,143.62,69.46,72.83,44.67,25.37,26.33,70.09,158.17,87.52,39.29,20.88,58.13,27.65,28.3,29.84,183.99,27.55,25.4,175.17,89.04,30.11,70.05,56.46,147.46,112.9,43.54,33.49,247.96,51.35,52.3,25.21,70.78,77.09,633.79
112.74,32.06,95.56,69.15,29.94,19.93,30.45,56.73,102.26,66.52,35.62,71.32,190.47,131.4,68.8,61.49,104.38,60.95,52.25,58.6,137.45,49.11,143.12,68.55,72.71,42.34,24.22,22.9,69.94,156.72,86.67,38.35,20.85,57.13,25.4,26.44,29.5,184.41,26.78,24.69,174.31,88.41,29.9,66.7,54.26,144.49,108.07,43.82,32.99,241.07,51.46,52.26,24.85,69.68,78.2,632.65
