cb,pnr,cvs,swks,hbi,fast,flir,gis,incy,wab,xyl,idxx,noc,tfx,dhr,nke,zbh,avy,pki,rtx,tmo,aph,stz,cof,dg,hlt,oke,wmb,well,amgn,tdy,odfl,nlok,ctsh,rgen,mos,ftnt,isrg,jnpr,ntap,chtr,it,syf,uri,rjf,mmm,ecl,aee,cnc,orly,es,tsn,ctlt,dgx,alk,amzn,
113.28,31.31,97.32,69.62,31.18,20.22,29.35,56.67,72.58,63.9,35.62,71.4,188.64,138.03,65.15,63.16,99.03,61.03,48.23,55.1,130.69,49.87,154.36,65.01,76.35,38.02,23.44,19.51,62.83,152.75,80.68,37.78,19.75,62.33,22.45,23.92,28.39,181.05,24.33,21.86,175.75,88.41,28.47,48.83,44.25,148.73,107.42,45.66,31.8,265.25,54.57,54.31,23.08,65.86,70.29,574.81
112.47,29.95,94.94,66.48,30.04,19.57,28.58,55.8,68.94,62.66,34.86,71.44,187.44,137.21,63.95,62.55,98.04,59.86,47.53,53.76,126.89,49.2,152.51,63.21,76.34,36.58,23.12,18.69,61.81,150.11,77.06,36.88,19.27,60.12,21.96,22.1,27.06,179.78,24,21.56,172,86.26,27.01,45.76,41.9,147.87,104.93,46.38,30.42,259.49,55.08,53,22.77,63.97,67.96,552.1
112.83,30.52,95.37,66.19,30.45,19.82,28.49,55.67,69.17,63.73,35.67,71.46,189.77,137.47,64.45,62.49,97.26,63.74,46.8,54.1,126.05,49.05,150.4,63.15,75.1,36.86,24.64,18.41,63.66,150.69,77.7,36.93,19.28,60.76,22.05,23.93,26.39,181.7,23.92,22.2,176.45,86.34,26.34,48.43,41.7,152.52,107.28,47.33,29.97,253.62,55.72,52.92,22.7,64.02,67.27,531.07
113.22,31.43,94.63,66,29.39,21.77,28.68,55.12,72.03,64.79,37.08,70.92,186.35,136.79,65.52,60.17,97.55,64.37,46.58,55.45,127.8,49.57,146.95,63.73,72.86,38.3,25.49,18.75,63.69,149.91,80.8,40.04,19.18,59.62,21.87,24.8,26.72,183.98,23.73,22.58,170.5,83.99,26.31,48.68,43.27,153.44,109.17,46.53,30.17,250.88,54.93,51.95,22.2,63.87,68.91,536.26
112.25,31.06,93.1,62.16,24.96,21.63,28.36,55.37,71,62.07,36.66,71.04,186.49,134.82,64.45,57.17,95.01,63.2,43.26,55.28,123.18,49.55,137.95,63.36,71.66,37.26,25.54,17.12,63.12,145.04,78.72,39.7,19.76,58.54,21.04,24.86,25.11,178.75,22.9,22.64,168.54,82.82,25.23,48.2,43.4,153.47,106.17,46.49,28.5,242.07,54.66,57.1,21.68,62.05,64.56,502.13
108.89,30.64,89.65,59.3,23.82,21.83,27.6,55.72,70.91,61.95,36.22,69.58,185.62,133.28,63.77,55.04,92.03,61.33,41.45,54.61,121.94,48.98,134.95,60.89,69.71,37.01,23.16,11.16,60.58,143,78.22,39.92,19.24,54.05,20.93,23.58,24.23,169.09,21.97,22.35,162.59,80.06,24.48,46.61,41.94,153.9,103.62,46.17,26.86,233.53,54.09,60.16,21.2,60.54,63.06,488.1
110.58,30.35,90.51,57.7,24.03,21.68,28.76,55.94,72.26,60.58,36.71,68.49,187.32,134.03,64.57,55.68,91.9,62.89,42.47,54.9,124.45,49.04,136.09,62.42,69.52,37.35,20.63,11.98,55.74,143.16,78,40.67,18.72,52.33,21.35,23.86,23.84,169.61,21.99,22.04,165.04,80.94,25.08,44.78,42.4,154.74,107.2,46.08,27.76,236.29,54.69,60.85,20.97,60.55,65.63,482.07
111.69,28.79,93.11,57.2,25.04,21.14,28.53,56.09,72.31,65.5,36.43,69.66,188.33,134.19,64.58,57.41,92.91,63.04,43.99,54.72,125.46,49.72,138.8,62.24,69.67,38.28,20.91,12.85,55.71,144.81,79.31,39.92,18.9,53.32,21.98,23.42,23.91,174.8,21.62,22.38,161.08,81.13,25.01,45.5,41.85,152.45,106.21,46.2,27.45,236.7,54.94,61.58,20.86,62.12,66.84,490.48
110.84,28.93,93.87,55.85,25.16,21.01,28.62,55.98,65.51,64.07,36.21,67.27,183.91,131.65,63.35,56,91.68,62.28,43.41,53.28,123.3,49.01,135.61,60.15,68.75,37.79,19.62,13.29,53.68,141.46,77.51,39.28,18.77,52.11,21.73,24.75,23.83,173.85,21.7,21.73,159.53,79.86,24.5,43.34,40.43,150.67,103.3,45.37,26.86,249.53,53.9,60.05,21.26,61.3,66.94,503.82
114.31,29.82,95.86,57.63,26.58,21.52,29.3,56.89,68.36,65.35,37.04,67.85,181.25,132.64,64.36,56.42,91.78,63.98,44.41,54.09,126.48,49.54,138.03,62.54,70.46,39.25,20.18,13.47,54.4,144.72,78.93,40.63,19.15,53.87,22.97,22.91,24.11,177.09,21.84,21.89,167.75,80,25.37,45.45,41,153.96,106.63,45.25,26.92,253.02,53.51,60.17,22.12,61.9,68.44,507.08
